   id	category_id	code	barcode	mpn                 	name                                    	    price	image                                   	feature                                 	vendor          	available	descr	
 4106	          6	None	None   	AIR-PWR-5500-AC     	AIR-PWR-5500-AC                         	    934.8	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4101	       2315	None	None   	WS-C3560V2-24PS-S   	WS-C3560V2-24PS-S Комутатор Cisco Cat...	   424.35	['https://sklep.comel-it.com/data/gfx...	{'Jumbo frame': '9016', 'MTBF': '2753...	CISCO           	        1	None 	
 4099	          3	None	None   	MEM2600XM-32D       	MEM2600XM-32D                           	     59.0	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4097	       2315	None	None   	VS-S720-10G-3CXL    	VS-S720-10G-3CXL Supervisor VS-720 дл...	  3590.37	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4096	       2315	None	None   	WS-X6K-SUP1A-MSFC   	WS-X6K-SUP1A-MSFC Supervisor Engine C...	  1868.37	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4094	          3	None	None   	WIC-1DSU-56K        	WIC-1DSU-56K                            	   196.62	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4091	         10	None	None   	LCLC-SM-ADAPTER     	LCLC-SM-ADAPTER                         	     6.15	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	CML             	        1	None 	
 4090	          6	None	None   	AIR-PSINJSYS1200    	AIR-PSINJSYS1200                        	    72.57	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4079	       2315	None	None   	C3K-PWR-750WAC      	C3K-PWR-750WAC Блок живлення Cisco дл...	    370.0	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4078	       2324	None	None   	PWR-RPS2300         	PWR-RPS2300                             	    72.57	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4074	       2315	None	None   	CAB-CONSOLE-USB     	CAB-CONSOLE-USB Кабель консольний do ...	     52.9	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	3RD PARTY       	        1	None 	
 4069	          3	None	None   	FL-CME-SRST-25      	FL-CME-SRST-25                          	  1413.09	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт є новим': 'так'}          	CISCO           	        1	None 	
 4068	          3	None	None   	PVDM3-32            	PVDM3-32                                	    380.5	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4062	          3	None	None   	CISCO3945E-V/K9     	CISCO3945E-V/K9                         	  4057.77	['https://sklep.comel-it.com/data/gfx...	{'Вага [кг]': '27,20', 'Виробник': 'C...	CISCO           	        1	None 	
 4059	          2	None	None   	X2-10GB-LRM         	X2-10GB-LRM                             	   244.77	['https://sklep.comel-it.com/data/gfx...	{'Виробник': 'Cisco', 'Довжина хвилі ...	CISCO           	        1	None 	
 4057	          6	None	None   	AIR-AP1231G-E-K9 NEW	AIR-AP1231G-E-K9                        	    479.7	['https://sklep.comel-it.com/data/gfx...	{'MIMO 2.4 ГГц': '3x3:2', 'MIMO 5 ГГц...	CISCO           	        1	None 	
 4056	          6	None	None   	AIR-AP1250MNTGKIT   	AIR-AP1250MNTGKIT                       	   276.01	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4055	          6	None	None   	AIR-AP1252AG-E-K9   	AIR-AP1252AG-E-K9                       	    553.5	['https://sklep.comel-it.com/data/gfx...	{'MIMO 2.4 ГГц': '2x3:2', 'MIMO 5 ГГц...	CISCO           	        1	None 	
 4020	          6	None	None   	AIR-LAP1242G-E-K9   	AIR-LAP1242G-E-K9                       	     39.0	['https://sklep.comel-it.com/data/gfx...	{'Standard IEEE': '802.11g', 'obsługi...	CISCO           	        1	None 	
 4018	       2315	None	None   	WS-C4506-E          	WS-C4506-E Комутатор Cisco Catalyst 4...	  1100.85	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4014	          3	None	None   	COMPACT FLASH 256MB 	COMPACT FLASH 256МБ COMPATIBLE          	     90.0	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	3RD PARTY       	        1	None 	
 4013	       2315	None	None   	WS-C3750V2-24PS-S   	WS-C3750V2-24PS-S Комутатор Cisco Cat...	   466.17	['https://sklep.comel-it.com/data/gfx...	{'Jumbo frame': '9016', 'MTBF': '2615...	CISCO           	        1	None 	
 4012	       2315	None	None   	CAB-SFP-50CM        	CAB-SFP-50CM Кабель Cisco               	   169.74	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4011	          3	None	None   	AIM-VPN/EP          	AIM-VPN/EP                              	    83.46	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4010	       2315	None	None   	C8546-MSP-FCL       	C8546-MSP-FCL Модуль Cisco для C8540    	   613.77	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 4009	       2315	None	None   	C8545-MRP           	C8545-MRP Модуль Cisco Catalyst для 85xx	    790.0	['https://sklep.comel-it.com/data/gfx...	{'Цей продукт відновлений': 'так'}      	CISCO           	        1	None 	
 3999	          3	None	None   	CISCO2951-V/K9      	CISCO2951-V/K9                          	  2686.14	['https://sklep.comel-it.com/data/gfx...	{'Вага [кг]': '13,20', 'Виробник': 'C...	CISCO           	        1	None 	
 3989	          3	None	None   	CISCO1921-SEC/K9    	CISCO1921-SEC/K9                        	   705.84	['https://sklep.comel-it.com/data/gfx...	{'Вага [кг]': '3,10', 'Виробник': 'Ci...	CISCO           	        1	None 	
 3987	          3	None	None   	CISCO2811-SEC/K9    	CISCO2811-SEC/K9                        	   861.43	['https://sklep.comel-it.com/data/gfx...	{'Вага [кг]': '6,40', 'Виробник': 'Ci...	CISCO           	        1	None 	
 3986	          3	None	None   	CISCO1801W-AG-E/K9  	CISCO1801W-AG-E/K9                      	  2148.63	['https://sklep.comel-it.com/data/gfx...	{'WiFi': '802.11a/b/g', 'Вага [кг]': ...	CISCO           	        1	None 	
 3984	          2	None	None   	SFP-W-1G-120-1490   	SFP-WDM-120KM-1490                      	    87.97	['https://sklep.comel-it.com/data/gfx...	{'Виробник': 'CML', 'Довжина хвилі пе...	CML             	        1	None 	
 3980	       2315	None	None   	WS-C3560-12PC-S     	WS-C3560-12PC-S Комутатор Cisco Catal...	   1217.7	['https://sklep.comel-it.com/data/gfx...	{'Jumbo frame': '9018', 'MTBF': '4064...	CISCO           	        1	None 	
 3979	       2315	None	None   	WS-C2960-8TC-S      	WS-C2960-8TC-S Комутатор Cisco Cataly...	   662.97	['https://sklep.comel-it.com/data/gfx...	{'Jumbo frame': '9216', 'MTBF': '6155...	CISCO           	        1	None 	
 3978	       2315	None	None   	WS-C2960-24TC-S     	WS-C2960-24TC-S Комутатор Cisco Catal...	   350.55	['https://sklep.comel-it.com/data/gfx...	{'Jumbo frame': '9216', 'MTBF': '4037...	CISCO           	        1	None 	
